hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 2.06543, 3.24446E-006, 0, 0
2, 0.00000, 2.06543, 6.8892E-009, 0, 0
3, 0.00000, -42.4119, -0.000537748, 0, 0
4, 0.00000, -42.4091, 0.000125526, 0, 0
5, 0.00000, 2.13518, 1.98608E-005, 0, 0
6, 0.00000, 2.13326, 2.04804E-005, 0, 0
7, 0.00000, 2.08891, 5.55087E-007, 0, 0
8, 0.00000, 2.11527, 1.09375E-005, 0, 0
9, 0.00000, 2.11461, -2.60196E-006, 0, 0
10, 0.00000, 42.9349, 0.00091749, 0, 0
11, 0.00000, 43.6852, -6.61383E-005, 0, 0
12, 0.00000, 2.20921, -1.89357E-005, 0, 0
13, 0.00000, 2.22206, -2.65256E-006, 0, 0
14, 0.00000, 2.22108, 1.68475E-005, 0, 0
15, 0.00000, 2.21519, 5.36385E-006, 0, 0
16, 0.00000, 2.21073, 8.31386E-007, 0, 0
17, 0.00000, 2.16643, 0.000133482, 0, 0
18, 0.00000, -42.7026, -0.000751224, 0, 0
19, 0.00000, -41.5787, 0.000114366, 0, 0
20, 0.00000, 2.0676, 3.66129E-005, 0, 0
21, 0.00000, 2.06668, 4.03664E-006, 0, 0
22, 0.00000, 2.06544, 6.94608E-006, 0, 0
23, 0.00000, 2.0623, -5.29304E-006, 0, 0
24, 0.00000, 2.06132, 4.42305E-006, 0, 0
